gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2FC
ENSG00000253537.3,PCDHGA7,215.13920374133247,5.980255974935202,0.6323744153174807,1.8413993702362162e-22,1.612697568452878e-18,5.980255974935202
ENSG00000290588.1,ENSG00000290588,70.75886003401126,5.570619590653171,0.5861754702353142,9.682712211018425e-22,5.653412902939958e-18,5.570619590653171
ENSG00000253731.3,PCDHGA6,248.1761112691984,5.617540925458291,0.6916675923123943,2.197503776655637e-17,7.698295230380022e-14,5.617540925458291
ENSG00000274276.6,ENSG00000274276,56.45310387549556,3.390267123655279,0.4428915829323585,1.247885904450956e-15,3.1225670717661346e-12,3.390267123655279
ENSG00000180616.9,SSTR2,3397.4108984631,1.286360312068112,0.1697974191825019,1.845369458127388e-15,4.040436428569917e-12,1.286360312068112
ENSG00000269821.2,KCNQ1OT1,756.2783448714295,1.22025011756425,0.1648362104089369,6.7743071792816324e-15,1.3184307172477449e-11,1.22025011756425
ENSG00000137713.16,PPP2R1B,747.2803876836715,0.828073696603384,0.1165221702354643,6.786140399181797e-14,1.1886603523206838e-10,0.828073696603384
ENSG00000249378.8,LINC01060,94.82437389630691,8.699818919117398,1.30334316073546,7.878388728642371e-14,1.2545259724627246e-10,8.699818919117398
ENSG00000254681.7,PKD1P5,226.18486151710368,1.9820429862254587,0.2824973749656444,1.093855570643338e-13,1.596664514615725e-10,1.9820429862254587
ENSG00000180346.5,TIGD2,419.72223672197936,0.9496885825936996,0.1370808391132785,2.345725739814869e-13,2.9348380041855176e-10,0.9496885825936996
ENSG00000291093.1,SVIL-AS1,329.9721649081408,1.8313174346170007,0.2657882141348654,2.628412069375401e-13,3.069284387145301e-10,1.8313174346170007
ENSG00000183426.17,NPIPA1,279.9125532082029,1.2366469270406133,0.1855900789386751,1.353303905269884e-12,1.394380659100428e-09,1.2366469270406133
ENSG00000253846.3,PCDHGA10,142.6270080723475,2.85471104750574,0.4312052857711438,1.620569688029321e-12,1.5769943697511987e-09,2.85471104750574
ENSG00000007062.12,PROM1,390.9856542760712,1.42992813766603,0.217454152307958,2.38367078062538e-12,2.197493547022851e-09,1.42992813766603
ENSG00000187627.18,RGPD1,40.90357537081806,5.083234888626735,0.7676818669556082,6.004932299132418e-12,5.0086854357906395e-09,5.083234888626735
ENSG00000112599.9,GUCA1B,77.57144409567405,1.882935687151845,0.2938351424892187,7.779622155714575e-12,5.93354324467907e-09,1.882935687151845
ENSG00000003096.15,KLHL13,1312.263425522561,1.0266914294287173,0.1602506122137334,7.791247695114102e-12,5.93354324467907e-09,1.0266914294287173
ENSG00000117335.21,CD46,1867.197725743872,0.8099092600157283,0.1313529526123461,3.96195117820004e-11,2.7759014734940768e-08,0.8099092600157283
ENSG00000004779.10,NDUFAB1,795.2021783129561,0.9046713247731916,0.1490123644034921,6.867204344863758e-11,4.626382742485907e-08,0.9046713247731916
ENSG00000105963.15,ADAP1,242.71850405578408,1.8235204640763,0.3018357605121955,7.132400678113601e-11,4.627078899179181e-08,1.8235204640763
ENSG00000125534.10,PPDPF,3632.803025316276,1.476661710078656,0.2457144449276643,8.874571642266073e-11,5.551678460211877e-08,1.476661710078656
ENSG00000162078.12,ZG16B,38.57385587432875,2.819215366367172,0.4696247669633691,1.1761390783073427e-10,7.103880032976351e-08,2.819215366367172
ENSG00000268916.6,CSAG3,31.27636465318333,9.068440897338608,2.8028468660122847,1.661720078306135e-10,9.702229630536755e-08,9.068440897338608
ENSG00000109046.15,WSB1,2979.463905358045,0.9709639036020044,0.1669985396505566,3.1665312596742614e-10,1.7332800482642002e-07,0.9709639036020044
ENSG00000203930.13,LINC00632,1252.780290659653,0.700062482834314,0.1207411351960091,4.0023031011384974e-10,2.0618923858688802e-07,0.700062482834314
ENSG00000130511.16,SSBP4,731.0270425977332,1.0358611755521627,0.1811697546064701,5.498376000607828e-10,2.751701543618477e-07,1.0358611755521627
ENSG00000169248.13,CXCL11,52.85546607968693,5.154602908585575,0.8986075066805252,7.006787064234593e-10,3.409191172698143e-07,5.154602908585575
ENSG00000006071.16,ABCC8,538.9177888603538,1.039504061476053,0.1839611893503204,7.98175987909508e-10,3.778608271411606e-07,1.039504061476053
ENSG00000221946.8,FXYD7,197.7377512945661,1.754331884960181,0.311801688571926,8.335056104303806e-10,3.842022176920672e-07,1.754331884960181
ENSG00000116745.7,RPE65,81.43225477639695,4.050926066494749,0.7211739176781472,9.636684225539833e-10,4.2199040223638933e-07,4.050926066494749
ENSG00000105397.15,TYK2,809.497364451415,0.5825287526779618,0.1035820274177397,1.255501070031186e-09,5.287342191137312e-07,0.5825287526779618
ENSG00000255085.9,ENSG00000255085,45.67546760560475,6.693273219369045,1.110510495505328,1.2708985945199607e-09,5.287342191137312e-07,6.693273219369045
ENSG00000145335.17,SNCA,10249.78589724395,0.949878905944682,0.1710769160319277,1.618083562201564e-09,6.441443562618769e-07,0.949878905944682
ENSG00000180902.18,D2HGDH,240.1963615328597,1.40794863595632,0.2621933949657934,3.741630487404689e-09,1.339016004828484e-06,1.40794863595632
ENSG00000290885.1,ENSG00000290885,36.73101482646216,7.192014604698999,1.380526275500636,3.7458200637471865e-09,1.339016004828484e-06,7.192014604698999
ENSG00000076716.9,GPC4,845.0611892955133,1.2862418807936833,0.2415752587286726,4.7598828898987136e-09,1.634786445087566e-06,1.2862418807936833
ENSG00000131584.19,ACAP3,2732.998021093248,0.8777209798440607,0.1644028924340647,4.91576484448038e-09,1.655856481075353e-06,0.8777209798440607
ENSG00000125618.18,PAX8,47.64894728175717,6.158913586928453,1.1264302518429907,7.700395873033151e-09,2.544908190793371e-06,6.158913586928453
ENSG00000173275.13,ZNF449,220.37574424914928,1.133158369467508,0.2168573322733708,8.350464444306892e-09,2.708643244564436e-06,1.133158369467508
ENSG00000008710.20,PKD1,3613.731234439004,0.8528822506173086,0.1629552838149896,8.77967188052771e-09,2.796086048351334e-06,0.8528822506173086
ENSG00000184967.7,NOC4L,301.0403383054978,0.7479785201869703,0.1427662916083685,9.163063446245224e-09,2.866075345079131e-06,0.7479785201869703
ENSG00000158106.14,RHPN1,569.9011529847759,1.158779844408896,0.2239178682431688,1.0918118770123901e-08,3.35511874346474e-06,1.158779844408896
ENSG00000171163.16,ZNF692,408.0947100986472,0.8425441064263,0.1623871772258304,1.1273456290445191e-08,3.3743258522520527e-06,0.8425441064263
ENSG00000171222.11,SCAND1,394.82337141295886,1.611322397921148,0.3124982599074043,1.1365906901282892e-08,3.3743258522520527e-06,1.611322397921148
ENSG00000253230.11,MIR124-1HG,413.0062750506858,0.8693637214976556,0.1678182479292656,1.1570861343253471e-08,3.3779201214737967e-06,0.8693637214976556
ENSG00000215252.12,GOLGA8B,1160.707196830428,1.221556649801218,0.2370254629742364,1.207390118411717e-08,3.4669910350983e-06,1.221556649801218
ENSG00000205746.10,PKD1P4,107.2218002306204,2.345711577063472,0.4576141833429924,1.3075488895343622e-08,3.6940365079167544e-06,2.345711577063472
ENSG00000104885.19,DOT1L,959.6935314194832,0.7132479575468263,0.1380215127562131,1.3675565355496632e-08,3.742831293232485e-06,0.7132479575468263
ENSG00000147647.13,DPYS,29.03641714039324,3.06881879881799,0.5986363658573302,1.736011515325385e-08,4.678150415759915e-06,3.06881879881799
ENSG00000177508.12,IRX3,584.8252461586249,1.587210342163046,0.3132059555816967,1.789611989181502e-08,4.749521757955029e-06,1.587210342163046
ENSG00000226686.10,LINC01535,50.42838376434087,3.8510774730777384,0.7602728022752904,1.870834941686657e-08,4.890976841579624e-06,3.8510774730777384
ENSG00000179832.18,MROH1,1222.89665882947,0.8056655624928539,0.1584464221700391,2.0112893382842413e-08,5.180844713145112e-06,0.8056655624928539
ENSG00000245532.11,NEAT1,3102.072880686732,1.059363366818558,0.2114304720130709,2.6030424164103523e-08,6.607955212441119e-06,1.059363366818558
ENSG00000183092.18,BEGAIN,910.6223382584237,0.9212656702995666,0.1843989826418374,2.9746820972693882e-08,7.443504516538658e-06,0.9212656702995666
ENSG00000125503.13,PPP1R12C,919.9129295927249,0.8907808318935687,0.1806835678377116,4.2057386471217274e-08,1.023162751985891e-05,0.8907808318935687
ENSG00000213199.8,ASIC3,136.1989580376154,1.263316454382707,0.2578045213655695,4.4569345878376847e-08,1.06942008548719e-05,1.263316454382707
ENSG00000290418.1,TPTEP1,27.535260274358247,8.698872344304942,2.904868264015423,4.996526323973927e-08,1.182691285009828e-05,8.698872344304942
ENSG00000230453.11,ANKRD18B,40.67142428564681,2.4317294658567,0.5022848946101509,6.355396896580641e-08,1.4842817605400867e-05,2.4317294658567
ENSG00000182809.11,CRIP2,2500.192905292201,0.6118803904724673,0.1255894809584423,6.82362189718501e-08,1.552241053910294e-05,0.6118803904724673
ENSG00000138640.15,FAM13A,688.1491453634868,0.9679101267983437,0.2014467513199162,7.67494040640053e-08,1.723516104596303e-05,0.9679101267983437
ENSG00000235244.6,DANT2,126.417430154181,2.279798449394699,0.4808585681534993,8.921201044416789e-08,1.97802224675955e-05,2.279798449394699
ENSG00000135940.7,COX5B,1654.03859774244,0.7247749972049031,0.1517877165704258,9.997144739659009e-08,2.18887484074834e-05,0.7247749972049031
ENSG00000075651.17,PLD1,300.2237407153341,0.8163763683529986,0.1723244930760834,1.129272615157986e-07,2.442017176186084e-05,0.8163763683529986
ENSG00000164627.18,KIF6,141.8886813410444,1.051824130863296,0.2239054736072934,1.254829726684369e-07,2.680438718610171e-05,1.051824130863296
ENSG00000280071.5,ENSG00000280071,184.9382732242025,1.41853487284512,0.3038339420933465,1.3308115188268694e-07,2.808493320936318e-05,1.41853487284512
ENSG00000118271.12,TTR,9622.150160076628,3.6241592258804567,0.7805594388567079,1.4072653356637513e-07,2.9344832880340768e-05,3.6241592258804567
ENSG00000109758.9,HGFAC,154.7075552632067,1.616234899072132,0.3515310340472397,1.8607250541357808e-07,3.834407064499099e-05,1.616234899072132
ENSG00000164877.19,MICALL2,357.3725797234279,0.99452588151601,0.2163595351985455,2.068024240139877e-07,4.1696833439254285e-05,0.99452588151601
